startTime,open,high,low,close,volume,turnover
1744621200000,84729.2,84766,84720,84762.1,90.914,7704596.5083
1744621260000,84762.1,84769.1,84710.5,84728.1,9.032,765424.3996
1744621320000,84728.1,84747.9,84703,84703,23.87,2022664.7019
1744621380000,84703,84757.9,84703,84757.7,24.327,2061201.7916
1744621440000,84757.7,84791,84757.7,84781.1,24.669,2091450.0604
1744621500000,84781.1,84808.3,84745.2,84787.7,38.755,3286054.6773
1744621560000,84787.7,84831.1,84787.6,84816.2,25.888,2195782.2967
1744621620000,84816.2,84862.9,84767.6,84767.6,69.946,5933599.9715
1744621680000,84767.6,84836.8,84767.5,84767.6,77.784,6596144.4019
1744621740000,84767.6,84774.8,84721.6,84723.2,20.031,1697495.0803
1744621800000,84723.2,84747.8,84720,84746.7,27.261,2309953.1147
1744621860000,84746.7,84793.9,84746.7,84793.9,9.788,829632.6208
1744621920000,84793.9,84879.5,84793.9,84813.1,77.242,6553179.166
1744621980000,84813.1,84850,84804.5,84840.6,20.349,1726267.5767
1744622040000,84840.6,84860,84826.8,84830.6,12.365,1049121.0663
1744622100000,84830.6,84838,84809.7,84837.9,34.004,2884538.4716
1744622160000,84837.9,84837.9,84783.1,84801,17.215,1460103.1087
1744622220000,84801,84823.3,84787.1,84790.1,10.489,889496.0668
1744622280000,84790.1,84794,84755.5,84793,8.826,748317.8602
1744622340000,84793,84793.1,84755.5,84763.9,18.124,1536244.6523
1744622400000,84763.9,84770,84763.9,84765.1,5.329,451714.2044
1744622460000,84765.1,84776.8,84688.3,84689,38.172,3234225.1399
1744622520000,84689,84718,84680,84680,27.706,2346473.5595
1744622580000,84680,84685.9,84612.7,84618,42.508,3597998.0417
1744622640000,84618,84621.9,84584.3,84588.4,33.024,2793778.9698
1744622700000,84588.4,84608,84556.7,84556.8,50.757,4293132.9731
1744622760000,84556.8,84556.9,84521.7,84521.7,39.884,3371801.9178
1744622820000,84521.7,84526.5,84422,84440.5,128.976,10895372.9188
1744622880000,84440.5,84519.9,84440.5,84511.8,47.964,4052384.6371
1744622940000,84511.8,84511.8,84461,84461.1,18.294,1545571.2447
1744623000000,84461.1,84493.8,84452.2,84485.4,36.899,3117140.4664
1744623060000,84485.4,84495.1,84471.3,84471.4,19.666,1661544.3194
1744623120000,84471.4,84500.3,84471.3,84498.1,24.1,2036224.1332
1744623180000,84498.1,84498.1,84385.8,84445,81.882,6913430.896
1744623240000,84445,84445.6,84435.7,84436.5,14.413,1217048.6762
1744623300000,84436.5,84436.8,84415.2,84424.1,50.877,4295378.9389
1744623360000,84424.1,84424.1,84391.2,84396.1,23.161,1954972.2771
1744623420000,84396.1,84419.2,84381,84381.2,28.067,2368661.3701
1744623480000,84381.2,84381.8,84340.4,84361.8,60.92,5139614.962
1744623540000,84361.8,84361.9,84324,84324.1,33.151,2796244.3631
1744623600000,84324.1,84355.4,84324,84354,33.321,2810316.4362
1744623660000,84354,84356.3,84343.9,84343.9,9.955,839684.0968
1744623720000,84343.9,84343.9,84269.5,84289.9,70.928,5978846.2649
1744623780000,84289.9,84318.5,84285.7,84317.4,22.731,1916153.5382
1744623840000,84317.4,84337.9,84290,84337.9,34.259,2888454.052
1744623900000,84337.9,84356.3,84302,84302.1,37.148,3132851.8922
1744623960000,84302.1,84302.1,84210.4,84214,68.413,5763941.8863
1744624020000,84214,84259.3,84214,84259.3,62.684,5280556.4556
